Trade ID,Trade Date,Instrument,Side,Quantity,Price,Trade Value,Commission,Net P&L,Currency,Trader,Settlement Date
SIM-0001,2025-02-03,Beta Macro Note,BUY,315000,79.18,24938700,31500,98850,USD,Helix North,2025-02-05
SIM-0002,2025-02-04,Atlas Equity Strip,SELL,148500,91.62,13606370,26420,-18250,USD,Helix East,2025-02-05
SIM-0003,2025-02-04,Nova Credit Basket,BUY,520000,58.47,30404400,44100,85700,USD,Helix Metals,2025-02-07
SIM-0004,2025-02-05,Orion Infra Link,SELL,402000,113.12,45474240,72880,112600,EUR,Helix Core,2025-02-08
SIM-0005,2025-02-05,Zenith Funding Note,BUY,78000,124.09,9689020,21990,-9850,USD,Helix Prime,2025-02-07
SIM-0006,2025-02-06,Polaris Swap Ladder,BUY,1750,768.33,1344577.5,16840,39220,USD,Helix Quant,2025-02-10
SIM-0007,2025-02-06,Quasar Commod Strip,SELL,510000,64.22,32752200,57200,75480,GBP,Helix Frontier,2025-02-11
SIM-0008,2025-02-07,Epsilon Synthetic Mix,BUY,232000,97.18,22545760,30870,8400,USD,Helix Atlas,2025-02-10
SIM-0009,2025-02-07,Vertex Rates Combo,SELL,276000,103.44,28549440,43760,103200,EUR,Helix Rates,2025-02-11
SIM-0010,2025-02-08,Spectrum Multi Asset,BUY,135000,141.30,19075500,37110,-18860,USD,Helix Global,2025-02-12

